knowledge_point_type,question,answer,difficulty,bloom_level
顺序表的定义,"一个顺序表的第一个元素的存储地址是 90, 每个元素的长度为 2, 则第 6 个元素的存储地址是____。",100,3,b
栈的顺序存储结构,"一个顺序栈 s, 其栈顶指针为 top, 则将元素 e 入栈的操作是____。",s->top++; (s->top) = e;,3,b
队列的链式存储结构,在一个链队列中，front 和 rear 分别为头指针和尾指针，则插入一个结点 s 的操作为____。,rear->next = s; rear = s;,3,b
表达式后缀形式, 表达式 a(b+c)-d 的后缀表达式是____。,abc+*d-,3,b
哈夫曼编码,"用权值集合 {12,4,5,6,1,2} 构造哈夫曼树，其带权路径长度为____。",69,4,c
图的遍历,图的广度优先遍历算法类似于二叉树的____遍历。,层次,2,a
拓扑排序,拓扑排序算法是通过重复选择具有____个前驱顶点的过程来完成的。,0,2,a
散列函数,在散列函数 H (key)=key% p 中，p 应取____。,质数,3,b
二叉排序树 (BST),二叉排序树的查找效率与二叉树的____有关。,形态,2,a
排序算法的比较,在插入和选择排序中，若初始数据基本正序，则选用____排序；若初始数据基本反序，则选用____排序。,插入；选择,3,b
堆排序,堆排序所需要的附加存储空间是____。,O (1),3,b
数据结构基本概念, 研究数据结构就是研究数据的____、****及其基本操作。,逻辑结构、存储结构,2,a
时间复杂度计算,程序段i=1; while (i<=n) i=i*3; 的时间复杂度为****。,O (log₃n),3,b
线性表的存储结构,线性表采用链式存储时，结点的存储地址____(必须连续 / 连续与否均可)。,连续与否均可,2,a
循环队列,判断一个循环队列 Q (空间大小为 M) 为空的条件是____。,Q->front == Q->rear,2,a
串的模式匹配算法,模式匹配是指____。,求子串在主串中首次出现的位置,2,a
数组的存储结构,"二维数组 A [8][10] 中，每个数组元素占 4 个存储单元，已知 A [2][2] 按行优先顺序存放的存储地址是 1000, 则 A [0][0] 的存储地址是____。",912,4,c
广义表,"广义表 ((a),a) 的表头是____, 表尾是____。",(a)；(a),3,b
二叉树的性质,完全二叉树中，度为 1 的结点数只能是____或____。,0；1,3,b
图的遍历,有向图的邻接表中，顶点 vi 的出度是对应顶点链表中结点的个数，这种说法（）。,正确,2,a
最短路径,迪杰斯特拉算法是按____次序求最短路径的。,路径长度递增,3,b
散列查找, 在散列查找中，处理冲突的方法主要有____、和。,线性探测法、再哈希法、链地址法,2,a
二叉排序树 (BST),平衡二叉树是指左右子树的高度差的绝对值不大于____的二叉树。,1,2,a
插入排序,直接插入排序的平均时间复杂度为____。,O (n²),2,a
归并排序,归并排序的平均时间复杂度为____。,O (nlog₂n),3,b
线性表的存储结构,单链表不是一种随机存储结构，这种说法（）。,正确,2,a
线性表的存储结构,在具有头结点的单链表中，头指针指向链表的第一个数据结点，这种说法（）。,错误,2,a
循环链表,用循环单链表表示的链队列中，可以不设队头指针，仅在队尾设置队尾指针，这种说法（）。,正确,3,b
顺序存储结构,顺序存储方式只能用于存储线性结构，这种说法（）。,错误,2,a
线性表的存储结构,在线性表的顺序存储结构中，逻辑上相邻的两个元素在物理位置上不一定是相邻的，这种说法（）。,错误,2,a
链式存储结构,链式存储的线性表可以随机存取，这种说法（）。,错误,2,a
二叉树的遍历,任何一棵二叉树的叶结点在先序、中序和后序遍历序列中的相对次序（）（发生改变 / 不发生改变）。,不发生改变,3,b
图的遍历,图的深度优先搜索序列是惟一的，这种说法（）。,错误,2,a
哈夫曼树和哈夫曼编码,具有 n 个叶子结点的哈夫曼树，其结点总数为____。,2n-1,3,b
排序的稳定性,冒泡排序是一种稳定的排序方法，这种说法（）。,正确,2,a
直接选择排序,直接选择排序是一种稳定的排序方法，这种说法（）。,错误,2,a
基数排序,基数排序是一种稳定的排序方法，这种说法（）。,正确,2,a
希尔排序,希尔排序是一种不稳定的排序方法，这种说法（）。,正确,2,a
堆排序,堆排序是一种不稳定的排序方法，这种说法（）。,正确,2,a
归并排序,归并排序的空间复杂度为____。,O (n),3,b
外部排序,外部排序的基本方法是____。,归并排序,2,a
B 树,m 阶 B - 树中的 m 是指每个结点最多具有____棵子树。,m,3,b
散列表的基本概念,装填因子 α 是指____与____的比值。,哈希表中已存入的元素个数；哈希表的长度,3,b
二叉树的存储结构,二叉树的链式存储结构中，每个结点通常包含____个指针域。,2,2,a
图的存储结构,邻接多重表是无向图的一种____存储结构。,链式,2,a
拓扑排序,一个有向无环图的拓扑排序序列____（是惟一的 / 不一定是惟一的）。,不一定是惟一的,3,b
关键路径,AOE 网中，关键路径是从源点到汇点的____路径。,最长,2,a
线性表的基本操作,在顺序表中，插入一个元素所需移动的元素平均数是____。,(n+1)/2,3,b
循环队列,当用大小为 N 的数组存储顺序循环队列时，该队列的最大长度为____。,N-1,3,b
串的模式匹配算法 ——KMP 算法,KMP 算法所需的附加空间为____。,O (m),3,b
广义表,"广义表 A=((a),a) 的表尾是____。",(a),3,b
二叉树的遍历,"已知二叉树的前序遍历序列为 ABCDEFGH, 中序遍历序列为 CBEDEAGH, 则该二叉树的后序遍历序列为____。",CEDBHGFA,5,d
图的最小生成树,普里姆算法适用于求____图的最小生成树；克鲁斯卡尔算法适用于求____图的最小生成树。,稠密；稀疏,3,b
散列函数的构造方法,数字分析法、除余法、平方取中法属于____的构造方法。,散列函数,2,a
二叉排序树 (BST),在二叉排序树中删除一个结点后，仍要保持二叉排序树的特性，则删除操作分____种情况处理。,3,3,b
快速排序,快速排序在平均情况下的时间复杂度为____。,O (nlog₂n),3,b
堆排序,堆是一种____结构。,完全二叉树,2,a
归并排序,二路归并排序的平均时间复杂度为____。,O (nlog₂n),3,b
基数排序,基数排序是一种____排序方法。,稳定的线性时间,3,b
外部排序,外部排序中归并段的合并通常采用____算法。,多路平衡归并,3,b
B + 树的基本概念,B + 树中所有叶子结点包含____和指向相应记录的指针。,全部关键字,4,c
线索二叉树,线索二叉树的左线索指向其____，右线索指向其____。,前驱结点；后继结点,3,b
图的连通性,无向图中的极大连通子图称为____。,连通分量,2,a
最短路径,弗洛伊德算法是求图中____最短路径的算法。,所有顶点之间,3,b
分块查找,分块查找中，索引表的作用是____。,存储各块的最大关键字和块起始地址,3,b
直接插入排序,直接插入排序在最好情况下的时间复杂度为____。,O (n),3,b
希尔排序,希尔排序的增量序列的最后一个增量必须是____。,1,2,a
冒泡排序,冒泡排序在最坏情况下的时间复杂度为____。,O (n²),2,a
线性表的存储结构,在单链表中，指针 p 指向元素为 x 的结点，实现删除 x 的后继的语句是____。,p->next = p->next->next;,3,b
循环队列,"循环队列的队头和队尾指针分别为 front 和 rear, 则判断循环队列为空的条件是____。",front == rear,2,a
串的模式匹配算法 ——KMP 算法,KMP 算法的最大特点是指示主串的指针不需要____。,回溯,2,a
广义表,"广义表 (a,b,c) 的表尾是____。","(b,c)",3,b
二叉树的遍历,"已知二叉树的中序遍历序列是 ACBDHIFE, 后序遍历序列是 ABDCFHEG, 则该二叉树的先序遍历序列为____。",EDCHBGFIA,5,d
图的最小生成树,最小生成树的 Kruskal 算法基于____原理。,贪心,3,b
散列存储,散列存储的基本思想是由____确定记录的存储地址。,关键字,2,a
二叉排序树 (BST),在二叉排序树中，若删除的结点是叶子结点，则直接____该结点。,删除,2,a
快速排序,快速排序在最坏情况下的时间复杂度为____。,O (n²),3,b
堆排序,堆排序的时间复杂度为____。,O (nlog₂n),3,b
归并排序,归并排序是一种____的排序方法。,稳定,2,a
基数排序,基数排序的时间复杂度为____。,O (d (n + r)),4,c
外部排序,外部排序中，置换 - 选择排序用于生成____。,初始归并段,3,b
B 树,在 m 阶 B - 树中，除根结点外的分支结点至少包含____棵子树。,⌈m/2⌉,4,c
线索二叉树,"在中序线索二叉树中，若某结点有左子树，则其左指针指向____, 否则指向____。",左子树；前驱结点,4,c
图的连通性,有向图中的极大强连通子图称为____。,强连通分量,3,b
最短路径,迪杰斯特拉算法适用于求解____图的最短路径。,带权有向,3,b
分块查找,分块查找的平均查找长度由____和____两部分组成。,索引表查找；块内查找,3,b
折半插入排序,折半插入排序的平均时间复杂度为____。,O (n²),3,b
希尔排序,希尔排序的时间复杂度为____。,O (n^1.3)（平均情况）,4,c
冒泡排序,冒泡排序在最好情况下的时间复杂度为____。,O (n),3,b
直接选择排序,直接选择排序的平均时间复杂度为____。,O (n²),2,a
堆排序,堆排序的稳定性为____（稳定 / 不稳定）。,不稳定,2,a
归并排序,归并排序的空间复杂度为____。,O (n),3,b
基数排序,基数排序是一种基于____的排序方法。,多关键字,3,b
外部排序,外部排序中采用置换 - 选择排序可以得到____归并段。,最长,4,c
B 树,在 B - 树中，所有叶子结点都位于____层。,同一,3,b
线索二叉树,后序线索二叉树中，若某结点的右线索存在，则其指向该结点的____。,后序后继结点,4,c
二叉树的性质,完全二叉树中第 i 层上至多有____个结点（根结点为第 1 层）。,2^(i-1),2,a
哈夫曼树和哈夫曼编码,哈夫曼树中权值越大的叶子结点离根越____（近 / 远）。,近,3,b
图的邻接表存储,无向图的邻接表中，每条边在邻接表中出现____次。,2,2,a
图的连通性,具有 n 个顶点的连通无向图至少有____条边。,n-1,2,a
哈希表处理冲突的方法,链地址法处理冲突时，每个链表中的结点具有相同的____。,哈希值,3,b
B 树的基本操作,在 B - 树的插入操作中，当结点中的关键字数目超过 m-1 时，需要进行____操作。,分裂,4,c
排序算法的稳定性,快速排序是____（稳定 / 不稳定）的排序算法。,不稳定,2,a
插入排序,直接插入排序的稳定性为____（稳定 / 不稳定）。,稳定,2,a
归并排序,二路归并排序是一种____（稳定 / 不稳定）的排序算法。,稳定,2,a
基数排序,基数排序的稳定性为____（稳定 / 不稳定）。,稳定,2,a
外部排序,外部排序主要由____和____两部分组成。,生成初始归并段；归并排序,3,b
置换 - 选择排序,置换 - 选择排序的作用是生成____。,初始归并段,3,b
最佳归并树,最佳归并树是指____的归并树。,带权路径长度最小,4,c
二叉树的遍历,已知二叉树的后序遍历序列是 DABEC，中序遍历序列是 DEBAC，则先序遍历序列是____。,EDABC,5,d
线索二叉树,在前序线索二叉树中，若某结点无左子树，则其左线索指向____。,前驱结点,4,c
图的最小生成树,Kruskal 算法每次选择边时遵循____原则。,最小权值,3,b
B + 树的基本概念,B + 树中所有非叶子结点的作用是____。,索引,4,c
排序算法的比较,在平均情况下，____排序的时间复杂度最低。,快速,3,b
堆排序,堆排序的初始建堆过程需要____时间。,O (n),4,c
分块查找,分块查找中，若索引表长度为 m，每个块的长度为 n，则平均查找长度为____。,(m + n)/2,4,c
二叉树的层序遍历,二叉树的层序遍历需要借助____数据结构。,队列,2,a
弗洛伊德算法,弗洛伊德算法用于求解图中____的最短路径。,所有顶点对之间,3,b
排序算法的空间复杂度,快速排序的空间复杂度在平均情况下为____。,O (log₂n),3,b
B 树和 B + 树的区别,B + 树中叶子结点包含____，且所有叶子结点按顺序链接。,全部关键字和指向记录的指针,4,c
线索二叉树的实现,中序线索二叉树中，若某结点的左线索为 1，则其左指针指向____。,前驱结点,4,c
图的最短路径算法,贝尔曼 - 福特算法可以处理____的最短路径问题。,带负权边,4,c
插入排序的稳定性,希尔排序是____（稳定 / 不稳定）的排序算法。,不稳定,2,a
归并排序的空间复杂度,二路归并排序的空间复杂度为____。,O (n),3,b
外部排序的归并,外部排序中，k 路归并需要____个输入缓冲区和____个输出缓冲区。,k；1,4,c
二叉树的遍历,已知二叉树的先序遍历序列为 ABDGHCEFI，中序遍历序列为 GDHBAECIF，则后序遍历序列为____。,GHDBEIFCA,5,d
线索二叉树,后序线索二叉树中，若某结点的左线索为 1，则其左指针指向____。,前驱结点,4,c
图的最小生成树,普里姆算法的时间复杂度为____，适用于____图。,O (n²)；稠密,3,b
B 树的插入操作,在 m 阶 B - 树中，插入结点时若导致结点分裂，分裂后原结点和新结点各包含____和____个关键字。,⌊m/2⌋-1；⌈m/2⌉-1,5,d
排序算法的比较, 在所有内部排序算法中，排序是稳定的且时间复杂度最低（O (nlog₂n)）。,归并,3,b
基数排序的实现,基数排序按低位优先排序时，每一趟排序依据关键字的____位。,当前,3,b
外部排序的性能,外部排序的时间主要花费在____上。,读写外存,3,b
二叉树的性质,一棵满二叉树的叶子结点数为 n，则其总结点数为____。,2n-1,3,b
