knowledge_point_type,question,option_A,option_B,option_C,option_D,answer,difficulty,bloom_level
线性表的基本操作,在一个长度为 n 的顺序表中，在第 i 个元素之前插入一个新元素时，需向后移动 () 个元素。,n-i,n-i+1,n-i-1,i,B,4,b
循环链表,非空的循环单链表 head 的尾结点 p 满足 ()。,p->next==head,p->next==NULL,p= NULL,p==head,A,4,b
链表的存储结构,链表不具有的特点是 ()。,可随机访问任一元素,插入删除不需要移动元素,不必事先估计存储空间,所需空间与线性表长度成正比,A,3,a
双链表,在双向循环链表中，在 p 指针所指的结点后插入一个指针 q 所指向的新结点，修改指针的操作是 ()。,p->next=q;q->prior=p;p->next->prior=q;q->next=q;,p->next=q;p->next->prior=q;q->prior=p;q->next=p->next;,q->prior=p;q->next=p->next;p->next->prior=q;p->next=q;,q->next=p->next;q->prior=p;p->next=q;p->next=q;,C,5,c
链表的存储结构,线性表采用链式存储时，结点的存储地址 ()。,必须是连续的,必须是不连续的,连续与否均可,和头结点的存储地址相连续,C,3,a
线性表的基本操作,在一个长度为 n 的顺序表中删除第 i 个元素，需要向前移动 () 个元素。,n-i,n-i+1,n-i-1,i+1,A,4,b
线性表的定义,线性表是 n 个 () 的有限序列。,表元素,字符,数据元素,数据项,C,3,a
循环链表,从表中任一结点出发，都能扫描整个表的是 ()。,单链表,顺序表,循环链表,静态链表,C,3,a
单链表上基本操作的实现,在具有 n 个结点的单链表上查找值为 x 的元素时，其时间复杂度为 ()。,O (n),O (1),O (n²),O (n-1),A,3,a
线性表的定义," 线性表 L=(a1,a2,...,an), 下列说法正确的是 ()。",每个元素都有一个直接前驱和一个直接后继,线性表中至少要有一个元素,表中诸元素的排列顺序必须是由小到大或由大到小,除第一个和最后一个元素外，其余每个元素都有一个且仅有一个直接前驱和直接后继,D,4,b
顺序表的定义,"一个顺序表的第一个元素的存储地址是 90, 每个元素的长度为 2, 则第 6 个元素的存储地址是 ()。",98,100,102,106,A,4,b
顺序表和链表的比较,在线性表的下列存储结构中，读取元素花费的时间最少的是 ()。,单链表,双链表,循环链表,顺序表,D,3,a
单链表上基本操作的实现,在一个单链表中，若删除 p 所指向结点的后续结点，则执行 ()。,p->next=p->next->next;,p=p->next;p->next=p->next->next;,p=p->next;,p=p->next->next;,A,4,b
单链表上基本操作的实现,将长度为 n 的单链表连接在长度为 m 的单链表之后的算法的时间复杂度为 ()。,O (1),O (n),O (m),O (m+n),C,4,b
顺序表的定义,线性表的顺序存储结构是一种 () 存储结构。,随机存取,顺序存取,索引存取,散列存取,A,3,a
顺序表的基本操作,顺序表中，插入一个元素所需移动的元素平均数是 ()。,(n-1)/2,n,n+1,(n+1)/2,A,5,c
循环链表,循环链表的主要优点是 ()。,不再需要头指针,已知某结点位置后能容易找到其直接前驱,在进行插入、删除运算时能保证链表不断开,在表中任一结点出发都能扫描整个链表,D,3,a
单链表的定义,不带头结点的单链表 head 为空的判定条件是 ()。,head=NULL,head->next==NULL,head->next==head,head!=NULL,A,3,a
顺序表的基本操作,在下列对顺序表进行的操作中，算法时间复杂度为 O (1) 的是 ()。,访问第 i 个元素的前驱 (1<i≤n),在第 i 个元素之后插入一个新元素 (1≤i<n),删除第 i 个元素 (1≤i≤n),对顺序表中元素进行排序,A,4,b
单链表上基本操作的实现,已知指针 p 和 q 分别指向某单链表中第一个结点和最后一个结点。假设指针 s 指向另一个单链表中某个结点，则在 s 所指结点之后插入上述链表应执行的语句为 ()。,q->next=s->next;s->next=p;,s->next=p;q->next=s->next;,p->next=s->next;s->next=q;,s->next=q;p->next=s->next;,A,5,c
顺序表和链表的比较,在以下的叙述中，正确的是 ()。,线性表的顺序存储结构优于链表存储结构,线性表的顺序存储结构适用于频繁插入 / 删除数据元素的情况,线性表的链表存储结构适用于频繁插入 / 删除数据元素的情况,线性表的链表存储结构优于顺序存储结构,C,3,a
顺序表的基本操作,在表长为 n 的顺序表中，当在任何位置删除一个元素的概率相同时，删除一个元素所需移动的平均个数为 ()。,(n-1)/2,n/2,(n+1)/2,n,A,5,c
单链表上基本操作的实现,"在一个单链表中，已知 q 所指结点是 p 所指结点的前驱结点，若在 q 和 p 之间插入一个结点 s, 则执行 ()。",s->next=p->next;p->next=s;,p->next=q->next;s->next=p;,q->next=s;s->next=p;,p->next=s;s->next=q;,C,5,c
单链表上基本操作的实现,在单链表中，指针 p 指向元素为 x 的结点，实现删除 x 的后继的语句是 ()。,p=p->next;,p->next=p->next->next;,p->next=p;,p=p->next->next;,B,4,b
循环链表,"在头指针为 head 且表长大于 1 的单循环链表中，指针 p 指向表中某个结点，若 p->next->next==head, 则 ()。",p 指向头结点,p 指向尾结点,p 的直接后继是头结点,p 的直接后继是尾结点,B,5,c
顺序表上基本操作的实现,在一个长度为 n 的顺序表中删除第 i 个元素（0<i<=n）时，需要向前移动 ( ) 个元素。,n-i,n-i+1,n-i-1,i+1,A,2,a
线性表的基本操作,从一个具有 n 个元素的线性表中查找其值等于 x 的结点时，在查找成功的情况下，需平均比较 ( ) 个元素结点。,n/2,n,(n-1)/2,(n +1)/2,D,3,b
单链表上基本操作的实现,对一个具有 n 个元素的线性表，建立其单链表的时间复杂度为 ( )。,O (n),O (1),O (n²）,O（long2n）,A,2,a
单链表的定义,线性表采用链式存储时，其地址 ( )。,必须是连续的,一定是不连续的,部分地址必须连续,连续与否均可以,D,1,a
单链表上基本操作的实现,在一个具有 n 个结点的有序单链表中插人一个新的结点，使得链表仍然有序，该算法的时间复杂度是 ( )。,O（long2n）,O（l）,O（n²）,O（n）,D,3,b
线性表的定义,线性表是 ( )。,一个有限序列，可以为空,一个有限序列，不可以为空,一个无限序列，可以为空,一个无限序列，不可以为空,A,1,a
顺序表上基本操作的实现,在一个长度为 n 的顺序表中，向第 i 个位置（0 一 1＜n＋1）插入一个新元素时，需要向后移动 ( ) 个元素。,n-i,n-i＋1,n－i－1,i＋1,B,2,a
顺序表和链表的比较,如果某链表中最常用的操作是取第 i 个结点及其前驱，则采用 ( ) 存储方式最节省时间。,单链表,双向链表,单循环链表,顺序表,D,3,b
顺序表的存储结构,一个顺序存储线性表的第一个元素的存储地址是 90，每个元素的长度是 2，则第 6 个元素的存储地址是（）。,98,100,102,106,B,2,a
顺序表上基本操作的实现,在顺序存储的线性表（a1……an）中，删除任意一个结点所需移动结点的平均移动次数为 ( ),n,n／2,(n-1)/2,（n＋l）/2,C,3,b
顺序表的定义,在线性表的下列存储结构中，读取第 i 个元素花费的时间最少的是（）。,单链表,双链表,循环链表,顺序表,D,1,a
双链表，循环链表,若某链表中最常用的操作为在最后一个结点之后插入一个结点和删除最后一个结点，则采用（）存储方式最节省时间。,双链表,单链表,单循环链表,带头结点的双循环链表,D,4,c
单链表上基本操作的实现,在单链表中删除指针 p 所指结点的后继结点，则执行（ ）操作。,p->next=p->next->next,p->next=p->next,p=p->next->next,p=p->next; p->next=p->next->next,A,2,a
单链表上基本操作的实现,在一个单链表中，已知 q 所指结点是 p 所指结点的前驱，若在 q 和 p 之间插入 s 所指的结点，则执行（ ）操作。,s->next=p->next; p->next=s,q->next=s; s->next=p,p->next=s->next; s->next=p,p->next=s; s->next=q,B,3,b
单链表的定义,在单链表中附加头结点的目的是为了（ ）。,保证单链表中至少有一个节点,标识单链表中首结点的位置,方便运算的实现,说明单链表是线性表的链式存储,C,2,a
循环链表,循环单链表的主要优点是（ ）。,不再需要头指针了,从表中任意一个结点出发都能扫描到整个链表,已知某个结点的位置后，能够容易找到它的前驱,在进行插入、删除操作时，能更好地保证链表不断开,B,2,a
循环链表,非空的循环单链表 L 的尾结点 p 满足（ ）。,p->next=NULL,p=NULL,p->next=L,p=L,C,2,a
双链表,"在双向循环链表中，在 p 指针所指向的结点前插入一个指针 q 所指向的新结点，其修改指针的操作是 ( )。注：双向链表的结点结构为 (prior,data,next)。",p->prior=q； q->next=p； p->prior->next=q； q->prior=q；,p->prior=q； p->prior->next=q; q->next=p； q->prior=p->prior；,q->next=p； q->prior=p->prior；p->prior->next=q; p->prior=q;,q->prior=p->prior； q->next=p； p->prior=q； p->prior=q；,C,4,c
双链表,在双向链表存储结构中，删除 p 所指的结点时须修改指针（ ）。,p->prior->next=p->next; p->next->prior=p->prior,p->prior=p->prior->prior; p->prior->next=p;(删 p 的前趋),p->next->prior=p; p->next=p->next->next,p->next= p->prior->prior; p->prior= p->next->next,A,4,c
栈的基本概念,"一个栈的输入序列为:a,b,c,d,e, 则栈的不可能输出的序列是 ()。","a,b,c,d,e","d,e,c,b,a","d,c,e,a,b","e,d,c,b,a",C,5,c
队列的顺序存储结构,判断一个循环队列 Q (最多 n 个元素) 为满的条件是 ()。,Q->rear==Q->front,Q->rear==Q->front+1,Q->front==(Q->rear+1)% n,Q->front==(Q->rear-1)% n,C,5,c
栈在括号匹配中的应用,设计一个判别表达式中括号是否配对的算法，采用 () 数据结构最佳。,顺序表,链表,队列,栈,D,3,a
单链表的定义,带头结点的单链表 head 为空的判定条件是 ()。,head==NULL,head->next==NULL,head->next!=NULL,head!=NULL,B,3,a
栈的基本概念,"一个栈的输入序列为：1,2,3,4, 则栈的不可能输出的序列是 ()。",1243,2134,1432,4312,D,5,c
队列的顺序存储结构,"若用一个大小为 6 的数组来实现循环队列，且当 rear 和 front 的值分别为 0,3。当从队列中删除一个元素，再加入两个元素后，rear 和 front 的值分别为 ()。",1 和 5,2 和 4,4 和 2,5 和 1,B,5,c
队列的基本概念,队列的插入操作是在 ()。,队尾,队头,队列任意位置,队头元素后,A,3,a
队列的顺序存储结构,"循环队列的队头和队尾指针分别为 front 和 rear, 则判断循环队列为空的条件是 ()。",front==rear,front==0,rear==0,front=rear+1,A,3,a
栈的顺序存储结构,"一个顺序栈 s, 其栈顶指针为 top, 则将元素 e 入栈的操作是 ()。",*s->top=e;s->top++;,S->top++;*S->top=e;,S->top=e,S->top=e;,B,4,b
栈在表达式求值中的应用, 表达式 a(b+c)-d 的后缀表达式是 ()。,abcd+,abc+d-,abc+d,-+*abcd,B,5,c
栈在递归中的应用,将递归算法转换成对应的非递归算法时，通常需要使用 () 来保存中间结果。,队列,栈,链表,树,B,3,a
栈的基本概念,栈的插入和删除操作在 ()。,栈底,栈顶,任意位置,指定位置,B,3,a
栈的基本概念,"五节车厢以编号 1,2,3,4,5 顺序进入铁路调度站 (栈), 可以得到 () 的编组。","3,4,5,1,2","2,4,1,3,5","3,5,4,2,1","1,3,5,2,4",C,5,c
栈的顺序存储结构,判定一个顺序栈 s (栈空间大小为 n) 为空的条件是 ()。,S->top==0,S->top!=0,S->top==n,S->top!=n,A,3,a
队列的链式存储结构,在一个链队列中，front 和 rear 分别为头指针和尾指针，则插入一个结点 s 的操作为 ()。,front=front->next,s->next=rear;rear=s;,rear->next=s; rear=s;,s->next=front;front=s;,C,4,b
队列的基本概念,"一个队列的入队序列是 1,2,3,4, 则队列的出队序列是 ()。","1,2,3,4","4,3,2,1","1,4,3,2","3,4,1,2",A,3,a
队列的基本概念,"依次在初始为空的队列中插入元素 a,b,c,d 以后，紧接着做了两次删除操作，此时的队头元素是 ()。",a,b,c,d,C,3,a
栈的顺序存储结构,正常情况下，删除非空的顺序存储结构的堆栈的栈顶元素，栈顶指针 top 的变化是 ()。,top 不变,top=0,top=top+1,top=top-1,D,3,a
队列的顺序存储结构,判断一个循环队列 Q (空间大小为 M) 为空的条件是 ()。,Q->front==Q->rear,Q->rear-Q->front-1==M,Q->front+1=Q->rear,Q->rear+1=Q->front,A,3,a
栈在括号匹配中的应用,设计一个判别表达式中左右括号是否配对出现的算法，采用 () 数据结构最佳。,线性表的顺序存储结构,队列,栈,线性表的链式存储结构,C,3,a
队列的顺序存储结构,当用大小为 N 的数组存储顺序循环队列时，该队列的最大长度为 ()。,N,N+1,N-1,N-2,C,4,b
队列的基本概念,队列的删除操作是在 ()。,队首,队尾,队前,队后,A,3,a
栈的基本概念,"若让元素 1,2,3 依次进栈，则出栈次序不可能是 ()。","3,2,1","2,1,3","3,1,2","1,3,2",C,5,c
队列的顺序存储结构,"循环队列用数组 A [0,m-1] 存放其元素值，已知其头尾指针分别是 front 和 rear, 则当前队列中的元素个数是 ()。",(rear-front+m)% m,rear-front+1,rear-front-1,rear-front,A,5,c
队列在计算机系统中的应用,在解决计算机主机和打印机之间速度不匹配问题时，通常设置一个打印数据缓冲区，主机将要输出的数据依次写入该缓冲区，而打印机则从该缓冲区中取走数据打印。该缓冲区应该是一个 () 结构。,堆栈,队列,数组,线性表,B,3,a
栈和队列的基本概念,栈和队列都是 ()。,链式存储的线性结构,链式存储的非线性结构,限制存取点的线性结构,限制存取点的非线性结构,C,3,a
队列的链式存储结构,在一个链队列中，假定 front 和 rear 分别为队头指针和队尾指针，删除一个结点的操作是 ()。,front=front->next,rear= rear->next,rear->next=front,front->next=rear,A,4,b
栈和队列的基本概念,栈和队列的主要区别是 ()。,逻辑结构不同,存储结构不同,所包含的运算个数不同,限定插入和删除的位置不同,D,3,a
栈的基本概念,一个栈的序列是：a，b，c，d，e，则栈的不可能输出的序列是（）。,a，b，c，d，e,d，e，c，b，a,d，c，e，a，b,e，d，c，b，a,C,5,c
栈的基本概念,若一个栈的输人序列是 1，2，3，…，n，输出序列的第一个元素是 n，则第 k 个输出元素是（ ）。,k,n-k-1,n-k+1,不确定,C,4,b
栈的顺序存储结构,判定一个栈 S（最多有 n 个元素）为空的条件是（ ）。,S->top！＝0,S->top= =0,S->top!=n,S->top= =n,B,1,a
栈的顺序存储结构,判定一个栈 S（最多有 n 个元素）为满的条件是（ ）。,S->top!=0,S->top= =0,S->top!=n,S->top= =n,D,1,a
栈的链式存储结构, 向一个栈顶指针为 top 的不带头结点的链栈中插人一个S 结点的时候，应当执行语句（ ）。,top->next=S,S->next=top；top=S,S->next＝top->next；top->next＝S,S->next＝top；top＝S->next,B,3,b
栈的链式存储结构, 向一个带头结点、栈顶指针为 top 的链栈中插人一个S 结点的时候，应当执行语句（ ）。,top->next=S,S->next=top；top=S,S->next=top->next；top->next=S,S->next=top；top=S->next,C,3,b
队列的顺序存储结构,判定一个队列 Q（最多有 n 个元素）为空的条件是（ ）。,Q->rear-Q->front= =n,Q->rear-Q->front+1= =n,Q->rear = = Q->front,Q->rear +1= = Q->front,C,1,a
队列的顺序存储结构,判定一个队列 Q（最多有 n 个元素）为满的条件是（）。,Q->rear-Q->front= =n,Q->rear-Q->front+1= =n,Q->rear = = Q->front,Q->rear +1= = Q->front,A,2,a
循环队列,判定一个循环队列 Q（最多有 n 个元素）为空的条件是（ ）。,Q->rear = = Q->front,Q->rear = = Q->front＋l,Q->front= =(Q->rear +1)％n,Q->front= =(Q->rear -1)％n,A,2,a
循环队列,判定一个循环队列 Q（最多有 n 个元素）为满的条件是（ ）。,Q->rear = = Q->front,Q->rear = = Q->front＋l,Q->front= =(Q->rear +1)％n,Q->front= =(Q->rear -1)％n,C,3,b
队列的链式存储结构,在一个链队列中，假定 front 和 rear 分别为头指针和尾指针，则插入一个结点 * S 的操作是（ ）。,front＝front->next,S->next=rear；rear=S,rear->next=S；rear=S,S->next=front；front＝S,C,2,a
队列的链式存储结构,在一个链队列中，假定 front 和 rear 分别为头指针和尾指针，删除一个结点的操作是（ ）。,front=front->next,rear=rear->next,rear->next=front,front->next＝rear,A,2,a
栈的基本概念，队列的基本概念,栈与队列都是（ ）。,链式存储的线性结构,链式存储的非线性结构,限制存取点的线性结构,限制存取点的非线性结构,C,1,a
栈的基本概念,若进栈序列为 l，2，3，4，则（ ）不可能是一个出栈序列。,3，2，4，1,l，2，3，4,4，2，3，1,4，3，2，l,C,5,c
队列的应用,在解决计算机主机与打印机之间速度不匹配问题时通常设置一个打印数据缓冲区，主机将要输出的数据依次写人该缓冲区，而打印机则从该缓冲区中取走数据打印。该缓冲区应该是一个（ ）结构。,堆栈,队列,数组,线性表,B,2,a
串的模式匹配算法 ——KMP 算法,"设有两个串 s1 和 s2, 求串 s2 在 s1 中首次出现位置的运算称作 ()。",连接,求子串,模式匹配,判断子串,C,3,a
串的模式匹配算法 ——KMP 算法,"已知串 S=aaab, 则 next 数组值为 ()。",123,1123,1231,1211,A,5,c
串的定义,串与普通的线性表相比较，它的特殊性体现在 ()。,顺序的存储结构,链式存储结构,数据元素是一个字符,数据元素任意,C,3,a
串的模式匹配算法 ——KMP 算法,"设串长为 n, 模式串长为 m, 则 KMP 算法所需的附加空间为 ()。",O (m),O (n),O (m*n),O (nlog₂m),A,5,c
串的定义,空串和空格串 ()。,相同,不相同,可能相同,无法确定,B,3,a
串的基本操作,与线性表相比，串的插入和删除操作的特点是 ()。,通常以串整体作为操作对象,需要更多的辅助空间,算法的时间复杂度较高,涉及移动的元素更多,A,4,b
串的基本操作,"设 SUBSTR (S,i,k) 是求 s 中从第 i 个字符开始的连续 k 个字符组成的子串的操作，则对于 s=Beijing&NanjingSUBSTR (S,4,5)=()。",ijing,jing&,ingNa,ing&N,B,4,b
广义表的定义,"设广义表 L=((a,b,c)), 则 L 的长度和深度分别为 ()。",1 和 1,1 和 3,1 和 2,2 和 3,C,4,b
广义表的定义,"广义表 ((a),a) 的表尾是 ()。",a,(a),(),((a)),B,4,b
稀疏矩阵的压缩存储,稀疏矩阵的常见压缩存储方法有 () 两种。,二维数组和三维数组,三元组和散列表,三元组和十字链表,散列表和十字链表,C,3,a
广义表的定义,一个非空广义表的表头 ()。,不可能是子表,只能是子表,只能是原子,可以是子表或原子,D,3,a
数组的存储结构,"数组 A [0..5,0..6] 的每个元素占 5 个字节，将其按列优先次序存储在起始地址为 1000 的内存单元中，则元素 A [5][5] 的地址是 ()。",1175,1180,1205,1210,A,5,c
广义表的定义,"广义表 G=(a,b,(c,d,(e,f),g) 的长度是 ()。",3,4,7,8,A,4,b
稀疏矩阵的压缩存储,采用稀疏矩阵的三元组表形式进行压缩存储，若要完成对三元组表进行转置，只要将行和列对换，这种说法 ()。,正确,错误,无法确定,以上均不对,B,4,b
广义表的定义,"广义表 (a,b,c) 的表尾是 ()。","b,c","(b,c)",c,(c),B,3,a
数组的定义,常对数组进行两种基本操作是 ()。,建立和删除,索引和修改,查找和修改,查找与索引,C,3,a
特殊矩阵的压缩存储,对一些特殊矩阵采用压缩存储的目的主要是为了 ()。,表达变得简单,对矩阵元素的存取变得简单,去掉矩阵中的多余元素,减少不必要的存储空间的开销,D,3,a
特殊矩阵的压缩存储,"设有一个 10 阶的对称矩阵 A, 采用压缩存储方式，以行序为主存储，a11 为第一个元素，其存储地址为 1, 每元素占 1 个地址空间，则 a85 的地址为 ()。",13,33,18,40,B,6,d
特殊矩阵的压缩存储,"设矩阵 A 是一个对称矩阵，为了节省存储，将其下三角部分按行序存放在一维数组 B [1..n (n-1)/2] 中，对下三角部分中任一元素 ai,j (i≥j), 在一维数组 B 的下标位置 k 的值是 ()。",i (i-1)/2+j-1,i (i-1)/2+j,i (i+1)/2+j-1,i (i+1)/2+j,B,6,d
广义表的定义,"广义表 A=((a),a) 的表头是 ()。",a,(a),b,((a)),B,4,b
稀疏矩阵的压缩存储,稀疏矩阵一般的压缩存储方法有两种，即 ()。,二维数组和三维数组,三元组和散列,三元组和十字链表,散列和十字链表,C,3,a
串的定义,空串与空格串（ ）。,相同,不相同,可能相同,无法确定,B,1,a
串的模式匹配算法,设有两个申 S1 与 S2，求串 S2 在 S1 中首次出现位置的运算称作（ ）。,连接,求子串,模式匹配,判子串,C,1,a
串的定义,串与普通的线性表相比较，它的特殊性体现在（ ）。,顺序的存储结构,链接的存储结构,数据元素是一个字符,数据元素可以任意,C,1,a
串的基本操作,设有串 S=‘Computer’，则其子串的数目是（ ）。,36,37,8,9,A,3,b
数组的定义,数组常用的两种基本操作是（ ）。,建立与查找,删除与查找,插人与索引,查找与修改,D,1,a
稀疏矩阵,对稀疏矩阵进行压缩存储，常用的两种方法是（ ）。,二元组和散列表,三元组表和十字链表,三角矩阵和对角矩阵,对角矩阵和十字链表,B,2,a
稀疏矩阵,采用稀疏矩阵的三元组表形式进行压缩存储，若要完对三元组表进行成转置，只要将行和列对换，这种说法（ ）。,正确,错误,无法确定,以上均不对,B,3,b
广义表的概念,一个广义表的表头总是一个广义表，这种说法（ ）。,正确,错误,无法确定,以上均不对,B,3,b
广义表的概念,一个广义表的表尾总是一个广义表，这种说法（ ）。,正确,错误,无法确定,以上均不对,A,3,b
广义表的表头表尾,广义表 ((a)) 的表头是（ ）。,（ ）,a,（a）,（（a））,C,3,b
广义表的表头表尾,广义表（（a））的表尾是（ ）。,（）,a,（a）,（（a））,A,3,b
广义表的表头表尾,广义表（（a），a）的表头是（ ）。,（ ）,a,（a）,（（a））,C,3,b
广义表的表头表尾,广义表（（a），a）的表尾是（ ）。,( ),a,（a）,（（a））,C,4,c
广义表的表头表尾,广义表（a，b，c）的表头是（ ）。,a,（a）,a，b,（b，c）,A,2,a
广义表的表头表尾,广义表（a，b，c）的表尾是（ ）。,b，c,（b，c）,a．b，c,（a，b，c）,B,2,a
广义表的操作,广义表 A 满足 Head（）= Tail（），则 A 为（）。,（）,（（））,（（），（））,（（），（），（））,B,5,d
二叉树的定义及其主要特性,"二叉树的深度为 k, 则二叉树最多有 () 个结点。",2k,2^(k-1),2^k-1,2k-1,C,3,a
二叉树的存储结构,用顺序存储的方法，将完全二叉树中所有结点按层逐个从左到右的顺序存放在一维数组 R [1..N] 中，若结点 R [i] 有右孩子，则其右孩子是 ()。,R [2i-1],R [2i+1],R [2i],R [2/i],B,4,b
二叉树的遍历,"设 a,b 为一棵二叉树上的两个结点，在中序遍历时，a 在 b 前面的条件是 ()。",a 在 b 的右方,a 在 b 的左方,a 是 b 的祖先,a 是 b 的子孙,B,4,b
二叉树的遍历,"设一棵二叉树的中序遍历序列:badce, 后序遍历序列:bdeca, 则二叉树先序遍历序列为 ()。",adbce,decab,debac,abcde,D,6,d
二叉树的定义及其主要特性,在一棵具有 5 层的满二叉树中结点总数为 ()。,31,32,33,16,A,4,b
二叉树的遍历,由二叉树的前序和后序遍历序列 () 惟一确定这棵二叉树。,能,不能,无法确定,以上均不对,B,4,b
二叉树的遍历,"某二叉树的中序序列为 ABCDEFG, 后序序列为 BDCAFGE, 则其左子树中结点数目为 ()。",3,2,4,5,C,6,d
哈夫曼树和哈夫曼编码,"若以 (4,5,6,7,8) 作为权值构造哈夫曼树，则该树的带权路径长度为 ()。",67,68,69,70,C,5,c
二叉树的存储结构,"将一棵有 100 个结点的完全二叉树从根这一层开始，每一层上从左到右依次对结点进行编号，根结点的编号为 1, 则编号为 49 的结点的左孩子编号为 ()。",98,99,50,48,A,5,c
栈在表达式求值中的应用,表达式 a*(b+c)-d÷ 的后缀表达式是 ()。,abcd+,abc+d,abc+d,#NAME?,B,5,c
二叉树的遍历,"对某二叉树进行先序遍历的结果为 ABDEFC, 中序遍历的结果为 DBFEAC, 则后序遍历的结果是 ()。",DBFEAC,DFEBCA,BDFECA,BDEFAC,B,6,d
树的定义,树最适合用来表示 ()。,有序数据元素,无序数据元素,元素之间具有分支层次关系的数据,元素之间无联系的数据,C,3,a
栈在表达式求值中的应用, 表达式 A(B+C)/(D-E+F) 的后缀表达式是 ()。,AB+C/D-E+F,ABC+D/E-F+,ABC+DE-F+/,ABCDED+/-+,C,5,c
线索二叉树,在线索二叉树中，t 所指结点没有左子树的充要条件是 ()。,t->left=NULL,t->ltag==1,t->ltag==1&&t->left==NULL,以上都不对,B,5,c
